PNuid_NLidu,,Province,,Name_en
Canada,,AB,,"New Brigden"
Canada,,AB,,Hanna
Canada,,AB,,Craigmyle
Canada,,AB,,Delia
Canada,,AB,,Michichi
Canada,,AB,,Munson
Canada,,AB,,Morrin
Canada,,AB,,Parkland
Canada,,AB,,Nanton
Canada,,AB,,Rosedale
Canada,,AB,,Drumheller
Canada,,AB,,Nacmine
Canada,,AB,,Cambria
Canada,,AB,,Wayne
Canada,,AB,,"East Coulee"
Canada,,AB,,Kirkcaldy
Canada,,AB,,Ensign
Canada,,AB,,Richdale
Canada,,AB,,Chancellor
Canada,,AB,,Makepeace
Canada,,AB,,Mossleigh
Canada,,AB,,Carseland
Canada,,AB,,Blackie
Canada,,AB,,Herronton
Canada,,AB,,Brant
Canada,,AB,,Cayley
Canada,,AB,,Connemara
Canada,,AB,,Durward
Canada,,AB,,Kew
Canada,,AB,,Millarville
Canada,,AB,,"Turner Valley"
Canada,,AB,,"Black Diamond"
Canada,,AB,,Okotoks
Canada,,AB,,"High River"
Canada,,AB,,Longview
Canada,,AB,,"Bearspaw, Chiniki, Wesley"
Canada,,AB,,Queenstown
Canada,,AB,,Foremost
Canada,,AB,,Legend
Canada,,AB,,Skiff
Canada,,AB,,Judson
Canada,,AB,,Welling
Canada,,AB,,"Del Bonita"
Canada,,AB,,Dorothy
Canada,,AB,,Sunnynook
Canada,,AB,,Pollockville
Canada,,AB,,Cessford
Canada,,AB,,Wardlow
Canada,,AB,,Gem
Canada,,AB,,Altario
Canada,,AB,,Compeer
Canada,,AB,,Consort
Canada,,AB,,Monitor
Canada,,AB,,Pemukan
Canada,,AB,,Bodo
Canada,,AB,,Hayter
Canada,,AB,,Provost
Canada,,AB,,Cadogan
Canada,,AB,,Loyalist
Canada,,AB,,Veteran
Canada,,AB,,Coronation
Canada,,AB,,Throne
Canada,,AB,,Federal
Canada,,AB,,Fleet
Canada,,AB,,Castor
Canada,,AB,,Bulwark
Canada,,AB,,Brownfield
Canada,,AB,,Gadsby
Canada,,AB,,Halkirk
Canada,,AB,,Botha
Canada,,AB,,Stettler
Canada,,AB,,"Big Valley"
Canada,,AB,,Scollard
Canada,,AB,,Rumsey
Canada,,AB,,Byemoor
Canada,,AB,,Endiang
Canada,,AB,,Sedalia
Canada,,AB,,Czar
Canada,,AB,,Hughenden
Canada,,AB,,Metiskow
Canada,,AB,,Amisk
Canada,,AB,,Leahurst
Canada,,AB,,Warden
Canada,,AB,,Erskine
Canada,,AB,,Nevis
Canada,,AB,,Ardley
Canada,,AB,,Delburne
Canada,,AB,,Haynes
Canada,,AB,,Joffre
Canada,,AB,,Alix
Canada,,AB,,Mirror
Canada,,AB,,Tees
Canada,,AB,,Clive
Canada,,AB,,Bashaw
Canada,,AB,,"Rochon Sands"
Canada,,AB,,"White Sands"
Canada,,AB,,"Red Willow"
Canada,,AB,,Donalda
Canada,,AB,,Alliance
Canada,,AB,,Galahad
Canada,,AB,,Forestburg
Canada,,AB,,Rowley
Canada,,AB,,Twining
Canada,,AB,,"Three Hills"
Canada,,AB,,Trochu
Canada,,AB,,Swalwell
Canada,,AB,,Carbon
Canada,,AB,,Hesketh
Canada,,AB,,Bircham
Canada,,AB,,Acme
Canada,,AB,,Beiseker
Canada,,AB,,Irricana
Canada,,AB,,Linden
Canada,,AB,,Sunnyslope
Canada,,AB,,Rockyford
Canada,,AB,,Rosebud
Canada,,AB,,Redland
Canada,,AB,,Lawsonburg
Canada,,AB,,"Rose Lynn"
Canada,,AB,,Strathmore
Canada,,AB,,Ardenode
Canada,,AB,,Lyalta
Canada,,AB,,Dalroy
Canada,,AB,,Keoma
Canada,,AB,,Kathyrn
Canada,,AB,,Nightingale
Canada,,AB,,Chestermere
Canada,,AB,,"High Point Estates"
Canada,,AB,,Langdon
Canada,,AB,,Cheadle
Canada,,AB,,Indus
Canada,,AB,,Shepard
Canada,,AB,,Dalemead
Canada,,AB,,Aldersyde
Canada,,AB,,Airdrie
Canada,,AB,,Calgary
Canada,,AB,,Stonelaw
Canada,,AB,,Hardisty
Canada,,AB,,Armada
Canada,,AB,,"Bragg Creek"
Canada,,AB,,Priddis
Canada,,AB,,Cochrane
Canada,,AB,,"Cochrane Lake Subd."
Canada,,AB,,Conrich
Canada,,AB,,"De Winton"
Canada,,AB,,"Artists View Park West"
Canada,,AB,,"Heritage Woods"
Canada,,AB,,Benchlands
Canada,,AB,,Waiparous
Canada,,AB,,Canmore
Canada,,AB,,Banff
Canada,,AB,,Exshaw
Canada,,AB,,"Lac des Arcs"
Canada,,AB,,"Pigeon Mountain"
Canada,,AB,,Morley
Canada,,AB,,"Ghost Lake"
Canada,,AB,,"Harvie Heights"
Canada,,AB,,"Lake Louise"
Canada,,AB,,"Saskatchewan River Crossing"
Canada,,AB,,"Big Horn 144A"
Canada,,AB,,Crossfield
Canada,,AB,,Carstairs
Canada,,AB,,Cremona
Canada,,AB,,Dogpound
Canada,,AB,,Didsbury
Canada,,AB,,Olds
Canada,,AB,,"Water Valley"
Canada,,AB,,Bergen
Canada,,AB,,Sundre
Canada,,AB,,Bowden
Canada,,AB,,Innisfail
Canada,,AB,,Caroline
Canada,,AB,,"Spruce View"
Canada,,AB,,Markerville
Canada,,AB,,Dickson
Canada,,AB,,Penhold
Canada,,AB,,Springbrook
Canada,,AB,,Torrington
Canada,,AB,,Wimborne
Canada,,AB,,Huxley
Canada,,AB,,Elnora
Canada,,AB,,Lousana
Canada,,AB,,"Pine Lake"
Canada,,AB,,Tuttle
Canada,,AB,,"Balmoral NW"
Canada,,AB,,"Balmoral SE"
Canada,,AB,,"Canyon Heights"
Canada,,AB,,"Central Park"
Canada,,AB,,Herder
Canada,,AB,,"Les Trailer Park"
Canada,,AB,,"Linn Valley"
Canada,,AB,,"Poplar Ridge"
Canada,,AB,,"Spruce Lane Acres"
Canada,,AB,,"Woodland Hills"
Canada,,AB,,Blackfalds
Canada,,AB,,"Sylvan Lake"
Canada,,AB,,Norglenwold
Canada,,AB,,"Red Deer"
Canada,,AB,,"Jarvis Bay"
Canada,,AB,,Birchcliff
Canada,,AB,,Benalto
Canada,,AB,,"Half Moon Bay"
Canada,,AB,,"Sunbreaker Cove"
Canada,,AB,,Eckville
Canada,,AB,,Condor
Canada,,AB,,Alhambra
Canada,,AB,,Leslieville
Canada,,AB,,"Rocky Mountain House"
Canada,,AB,,"Martins Trailer Court"
Canada,,AB,,"Ferrier Acres Trailer Court"
Canada,,AB,,Bentley
Canada,,AB,,"Gull Lake"
Canada,,AB,,"Parkland Beach"
Canada,,AB,,Lacombe
Canada,,AB,,"College Heights"
Canada,,AB,,Morningside
Canada,,AB,,Ponoka
Canada,,AB,,Samson
Canada,,AB,,Hobbema
Canada,,AB,,Wetaskiwin
Canada,,AB,,Gwynne
Canada,,AB,,"Bittern Lake"
Canada,,AB,,Duhamel
Canada,,AB,,"New Norway"
Canada,,AB,,Camrose
Canada,,AB,,Ohaton
Canada,,AB,,Kelsey
Canada,,AB,,Bawlf
Canada,,AB,,Edberg
Canada,,AB,,Ferintosh
Canada,,AB,,Rosalind
Canada,,AB,,Daysland
Canada,,AB,,"Meeting Creek"
Canada,,AB,,Heisler
Canada,,AB,,Strome
Canada,,AB,,Killam
Canada,,AB,,Sedgewick
Canada,,AB,,Lougheed
Canada,,AB,,Chauvin
Canada,,AB,,Edgerton
Canada,,AB,,Wainwright
Canada,,AB,,Fabyan
Canada,,AB,,Irma
Canada,,AB,,Jarrow
Canada,,AB,,Kinsella
Canada,,AB,,Viking
Canada,,AB,,Bruce
Canada,,AB,,Holden
Canada,,AB,,"Round Hill"
Canada,,AB,,Ryley
Canada,,AB,,Armena
Canada,,AB,,Kingman
Canada,,AB,,Tofield
Canada,,AB,,"New Sarepta"
Canada,,AB,,"Hay Lakes"
Canada,,AB,,Lloydminster
Canada,,AB,,Blackfoot
Canada,,AB,,Kitscoty
Canada,,AB,,Islay
Canada,,AB,,Vermilion
Canada,,AB,,"Paradise Valley"
Canada,,AB,,McLaughlin
Canada,,AB,,Leedale
Canada,,AB,,Rimbey
Canada,,AB,,O'Chiese
Canada,,AB,,"Alder Flats"
Canada,,AB,,"Buck Lake"
Canada,,AB,,Lodgepole
Canada,,AB,,"Drayton Valley"
Canada,,AB,,Winfield
Canada,,AB,,Bluffton
Canada,,AB,,Mulhurst
Canada,,AB,,"Poplar Bay"
Canada,,AB,,Grandview
Canada,,AB,,"Crystal Springs"
Canada,,AB,,"Norris Beach"
Canada,,AB,,"Ma-Me-O Beach"
Canada,,AB,,"Silver Beach"
Canada,,AB,,"Argentia Beach"
Canada,,AB,,"Golden Days"
Canada,,AB,,"Itaska Beach"
Canada,,AB,,"Sundance Beach"
Canada,,AB,,"Ermineskin Tribe, Louis Bull,Montana,Samson"
Canada,,AB,,Millet
Canada,,AB,,Breton
Canada,,AB,,Warburg
Canada,,AB,,Denwood
Canada,,AB,,Mannville
Canada,,AB,,Minburn
Canada,,AB,,Innisfree
Canada,,AB,,Ranfurly
Canada,,AB,,Lavoy
Canada,,AB,,Vegreville
Canada,,AB,,Mundare
Canada,,AB,,"Prairie Lodge Trailer Court"
Canada,,AB,,"Two Hills"
Canada,,AB,,Hilliard
Canada,,AB,,Chipman
Canada,,AB,,Lamont
Canada,,AB,,"Hairy Hill"
Canada,,AB,,Warwick
Canada,,AB,,Bruderheim
Canada,,AB,,Josephburg
Canada,,AB,,"Sherwood Park"
Canada,,AB,,Ardrossan
Canada,,AB,,"Cooking Lake"
Canada,,AB,,"Collingwood Cove"
Canada,,AB,,"Half Moon Estates"
Canada,,AB,,Beaumont
Canada,,AB,,Leduc
Canada,,AB,,"Rolly View"
Canada,,AB,,Kavanagh
Canada,,AB,,Thorsby
Canada,,AB,,Calmar
Canada,,AB,,Devon
Canada,,AB,,"Stony Plain"
Canada,,AB,,"Spruce Grove"
Canada,,AB,,"Spring Lake"
Canada,,AB,,Edmonton
Canada,,AB,,"St. Albert"
Canada,,AB,,"Fort Saskatchewan"
Canada,,AB,,Buford
Canada,,AB,,Marwayne
Canada,,AB,,Dewberry
Canada,,AB,,Derwent
Canada,,AB,,Myrnam
Canada,,AB,,Clandonald
Canada,,AB,,"Elk Point"
Canada,,AB,,Willingdon
Canada,,AB,,Andrew
Canada,,AB,,"St. Paul"
Canada,,AB,,"Horseshoe Bay"
Canada,,AB,,Glendon
Canada,,AB,,Bonnyville
Canada,,AB,,"Pelican Narrows"
Canada,,AB,,"Bonnyville Beach"
Canada,,AB,,Vilna
Canada,,AB,,Ashmont
Canada,,AB,,Mallaig
Canada,,AB,,Morinville
Canada,,AB,,Legal
Canada,,AB,,"Bon Accord"
Canada,,AB,,Gibbons
Canada,,AB,,Redwater
Canada,,AB,,Thorhild
Canada,,AB,,Waskatenau
Canada,,AB,,Westlock
Canada,,AB,,Barrhead
Canada,,AB,,Onoway
Canada,,AB,,Clyde
Canada,,AB,,Busby
Canada,,AB,,Pickardville
Canada,,AB,,Vimy
Canada,,AB,,"Nakamun Park"
Canada,,AB,,"Birch Cove"
Canada,,AB,,Sangudo
Canada,,AB,,"Rochfort Bridge"
Canada,,AB,,Mayerthorpe
Canada,,AB,,"Green Court"
Canada,,AB,,"Blue Ridge"
Canada,,AB,,Cherhill
Canada,,AB,,Glenevis
Canada,,AB,,"Rich Valley"
Canada,,AB,,Gainford
Canada,,AB,,"Betula Beach"
Canada,,AB,,"Seba Beach"
Canada,,AB,,"Silver Sands"
Canada,,AB,,"South View"
Canada,,AB,,"Val Quentin"
Canada,,AB,,"Alberta Beach"
Canada,,AB,,"Sunset Point"
Canada,,AB,,"West Cove"
Canada,,AB,,"Ross Haven"
Canada,,AB,,Yellowstone
Canada,,AB,,Gunn
Canada,,AB,,"Sunrise Beach"
Canada,,AB,,"Sandy Beach"
Canada,,AB,,Calahoo
Canada,,AB,,"Clearwater Estates"
Canada,,AB,,"Crystal Meadows"
Canada,,AB,,"Dawn Valley"
Canada,,AB,,"Devonshire Meadows"
Canada,,AB,,"Fleming Park"
Canada,,AB,,"Garden Grove Estates"
Canada,,AB,,"Glory Hills"
Canada,,AB,,"Green Acre Estates"
Canada,,AB,,"Hewitt Estates"
Canada,,AB,,"Hu Haven"
Canada,,AB,,"Hubbles Lake"
Canada,,AB,,"Meso West"
Canada,,AB,,Namao
Canada,,AB,,"Osborne Acres"
Canada,,AB,,"Panorama Heights"
Canada,,AB,,"Peterburn Estates"
Canada,,AB,,"Rolling Heights"
Canada,,AB,,"Rolling Meadows"
Canada,,AB,,"Sunset View Acres"
Canada,,AB,,"Upper and Lower Viscount Estates"
Canada,,AB,,"Upper Manor Estates"
Canada,,AB,,"Westbrooke Crescents"
Canada,,AB,,"Westlake Estates"
Canada,,AB,,"Woodbend Crescent"
Canada,,AB,,"Woodland Park"
Canada,,AB,,"Bristol Oakes"
Canada,,AB,,Villeneuve
Canada,,AB,,Entwistle
Canada,,AB,,Evansburg
Canada,,AB,,Wildwood
Canada,,AB,,"Niton Junction"
Canada,,AB,,Peers
Canada,,AB,,Edson
Canada,,AB,,"Rocky Rapids"
Canada,,AB,,Wabamun
Canada,,AB,,"Point Alison"
Canada,,AB,,Lakeview
Canada,,AB,,Kapasiwin
Canada,,AB,,Paul
Canada,,AB,,Duffield
Canada,,AB,,Duvernay
Canada,,AB,,Beauvallon
Canada,,AB,,Riverview
Canada,,AB,,Lindbergh
Canada,,AB,,Heinsburg
Canada,,AB,,"Frog Lake"
Canada,,AB,,Sputinow
Canada,,AB,,"Elizabeth Metis Settlement"
Canada,,AB,,Ardmore
Canada,,AB,,"Fort Kent"
Canada,,AB,,"Cherry Grove"
Canada,,AB,,"Cold Lake"
Canada,,AB,,"Goodfish Lake"
Canada,,AB,,Therien
Canada,,AB,,Kikino
Canada,,AB,,"Buffalo Lake Metis Settlement"
Canada,,AB,,Bellis
Canada,,AB,,"Smoky Lake"
Canada,,AB,,Newbrook
Canada,,AB,,Spedden
Canada,,AB,,"Cold Lake"
Canada,,AB,,"Cold Lake"
Canada,,AB,,Medley
Canada,,AB,,"Tulliby Lake"
Canada,,AB,,"Lac La Biche"
Canada,,AB,,"Beaver Lake"
Canada,,AB,,"Bone Town"
Canada,,AB,,Plamondon
Canada,,AB,,Atmore
Canada,,AB,,Grassland
Canada,,AB,,"Imperial Mills"
Canada,,AB,,"Heart Lake"
Canada,,AB,,Rossian
Canada,,AB,,"St. Michael"
Canada,,AB,,Egremont
Canada,,AB,,Abee
Canada,,AB,,"Long Lake"
Canada,,AB,,Perryvale
Canada,,AB,,Meanook
Canada,,AB,,Ellscott
Canada,,AB,,Rochester
Canada,,AB,,Tawatinaw
Canada,,AB,,Boyle
Canada,,AB,,Jarvie
Canada,,AB,,Fawcett
Canada,,AB,,"Mewatha Beach"
Canada,,AB,,Bondiss
Canada,,AB,,Athabasca
Canada,,AB,,"Island Lake"
Canada,,AB,,"Island Lake South"
Canada,,AB,,"Whispering Hills"
Canada,,AB,,"West Baptiste"
Canada,,AB,,"South Baptiste"
Canada,,AB,,"Sunset Beach"
Canada,,AB,,Larkspur
Canada,,AB,,Dapp
Canada,,AB,,Pibroch
Canada,,AB,,Caslan
Canada,,AB,,Hylo
Canada,,AB,,Venice
Canada,,AB,,Colinton
Canada,,AB,,Chisholm
Canada,,AB,,Flatbush
Canada,,AB,,Neerlandia
Canada,,AB,,"Fort Assiniboine"
Canada,,AB,,Campsie
Canada,,AB,,Whitecourt
Canada,,AB,,Smith
Canada,,AB,,"Calling Lake"
Canada,,AB,,"Centre Calling Lake"
Canada,,AB,,"Bigstone Cree (Jean Baptiste Gambler No.183)"
Canada,,AB,,"Wandering River"
Canada,,AB,,Breynat
Canada,,AB,,Amesbury
Canada,,AB,,"Slave Lake"
Canada,,AB,,Cardiff
Canada,,AB,,Carbondale
Canada,,AB,,"Lancaster Park"
Canada,,AB,,Sunnybrook
Canada,,AB,,Tomahawk
Canada,,AB,,"Violet Grove"
Canada,,AB,,"Buck Creek"
Canada,,AB,,Pipestone
Canada,,AB,,"Burnstick Lake"
Canada,,AB,,Marlboro
Canada,,AB,,"Pine Shadows"
Canada,,AB,,Obed
Canada,,AB,,Hondo
Canada,,AB,,Sawridge
Canada,,AB,,"Canyon Creek"
Canada,,AB,,Widewater
Canada,,AB,,Kinuso
Canada,,AB,,Faust
Canada,,AB,,Joussard
Canada,,AB,,Enilda
Canada,,AB,,"Grouard Mission"
Canada,,AB,,Grouard
Canada,,AB,,"High Prairie"
Canada,,AB,,Valleyview
Canada,,AB,,"Crooked Creek"
Canada,,AB,,DeBolt
Canada,,AB,,Bezanson
Canada,,AB,,"Fox Creek"
Canada,,AB,,"Swan Hills"
Canada,,AB,,"Grande Cache"
Canada,,AB,,Hinton
Canada,,AB,,Cadomin
Canada,,AB,,Robb
Canada,,AB,,"Brûlé Mines"
Canada,,AB,,Entrance
Canada,,AB,,Jasper
Canada,,AB,,"East Prairie Metis Settlement"
Canada,,AB,,"Peavine Metis Settlement"
Canada,,AB,,"Gift Lake"
Canada,,AB,,"Whitefish Lake"
Canada,,AB,,McLennan
Canada,,AB,,Donnelly
Canada,,AB,,Falher
Canada,,AB,,Girouxville
Canada,,AB,,Guy
Canada,,AB,,"Wabasca No. 166C (Bigstone First Cree Nation)"
Canada,,AB,,"Wabasca No. 166B (Bigstone Cree Nation)"
Canada,,AB,,"Wabasca No. 166D (Bigstone Cree First Nation)"
Canada,,AB,,"Wabasca No. 166 (Bigstone Cree Nation)"
Canada,,AB,,Wabasca-Desmarais
Canada,,AB,,"Sandy Lake"
Canada,,AB,,"Trout Lake"
Canada,,AB,,"Chipewyan Lake"
Canada,,AB,,"Red Earth Creek"
Canada,,AB,,"Fort McMurray"
Canada,,AB,,Anzac
Canada,,AB,,"Fort McMurray #468"
Canada,,AB,,"Gregoire Lake Estates"
Canada,,AB,,"Saprae Creek"
Canada,,AB,,Conklin
Canada,,AB,,"Fort MacKay"
Canada,,AB,,"Fort Chipewyan"
Canada,,AB,,"Mikisew Cree"
Canada,,AB,,Fitzgerald
Canada,,AB,,"Garden Creek"
Canada,,AB,,"John D'Or Prairie"
Canada,,AB,,Tallcree
Canada,,AB,,Tallcree
Canada,,AB,,"Fort Vermilion"
Canada,,AB,,"La Crête"
Canada,,AB,,Tallcree
Canada,,AB,,"Rocky Lane"
Canada,,AB,,Beaver
Canada,,AB,,"High Level"
Canada,,AB,,"Bushe River (Dene Tha')"
Canada,,AB,,"Paddle Prairie"
Canada,,AB,,"Keg River"
Canada,,AB,,"Buffalo Head Prairie"
Canada,,AB,,"Rainbow Lake"
Canada,,AB,,"Zama City"
Canada,,AB,,"Meander River"
Canada,,AB,,Manning
Canada,,AB,,Notikewin
Canada,,AB,,"North Star"
Canada,,AB,,Dixonville
Canada,,AB,,Deadwood
Canada,,AB,,"Cadotte Lake"
Canada,,AB,,"Woodland Cree"
Canada,,AB,,"St. Isidore"
Canada,,AB,,"Peace River"
Canada,,AB,,Nampa
Canada,,AB,,"Jean Côté"
Canada,,AB,,Reno
Canada,,AB,,Grimshaw
Canada,,AB,,Berwyn
Canada,,AB,,Brownvale
Canada,,AB,,Whitelaw
Canada,,AB,,Fairview
Canada,,AB,,Bluesky
Canada,,AB,,"Hines Creek"
Canada,,AB,,"Bay Tree"
Canada,,AB,,Bonanza
Canada,,AB,,Gordondale
Canada,,AB,,"Spirit River"
Canada,,AB,,Rycroft
Canada,,AB,,Woking
Canada,,AB,,Wanham
Canada,,AB,,Eaglesham
Canada,,AB,,Watino
Canada,,AB,,Worsley
Canada,,AB,,Cleardale
Canada,,AB,,Whitburn
Canada,,AB,,"Blueberry Mountain"
Canada,,AB,,Hythe
Canada,,AB,,"Valhalla Centre"
Canada,,AB,,"La Glace"
Canada,,AB,,Sexsmith
Canada,,AB,,Webster
Canada,,AB,,Clairmont
Canada,,AB,,Beaverlodge
Canada,,AB,,Wembley
Canada,,AB,,"Grande Prairie"
Canada,,AB,,Hayfield
Canada,,AB,,Elmworth
Canada,,AB,,"Flyingshot Lake"
Canada,,AB,,"Eldoes Trailer Park"
Canada,,AB,,"Riverview Pines Subdivision"
Canada,,AB,,"Triple-L-Trailer Court"
Canada,,AB,,"T & E Trailer Park"
Canada,,AB,,"Swan City Trailer Court"
Canada,,AB,,"Glen Leslie"
Canada,,AB,,Grovedale
Canada,,AB,,"Hawk Hills"
Canada,,AB,,"Steen River"
Canada,,AB,,"Indian Cabins"
Canada,,AB,,"Moose Portage"
Canada,,AB,,"Rich Lake"
Canada,,AB,,"St. Lina"
Canada,,AB,,Radway
Canada,,AB,,Warspite
Canada,,AB,,Coronado
Canada,,AB,,Musidora
Canada,,AB,,Fallis
Canada,,AB,,"McLeod Valley"
Canada,,AB,,"Lone Pine"
Canada,,AB,,"Sunset House"
Canada,,AB,,Forshee
Canada,,AB,,Brûlé
Canada,,AB,,"Eastview Acres"
Canada,,AB,,"Siksika No. 146 (Siksika Nation)"
Canada,,AB,,O'Chiese
Canada,,AB,,"Tsuut'ina Nation"
Canada,,AB,,Chiniki
Canada,,AB,,"Sunchild First Nation"
Canada,,AB,,"Stand Off (Blood)"
Canada,,AB,,"Piikani No. 147 (Piikani Nation)"
Canada,,AB,,"Alexis Nakota Sioux Nation"
Canada,,AB,,Alexander
Canada,,AB,,"Louis Bull Tribe"
Canada,,AB,,"Enoch Cree Nation #440"
Canada,,AB,,Paul
Canada,,AB,,Montana
Canada,,AB,,"Ermineskin Tribe"
Canada,,AB,,Samson
Canada,,AB,,"Beaver First Nation"
Canada,,AB,,"Tallcree (Tallcree Tribal Government)"
Canada,,AB,,"Fox Lake (Little Red River Cree Nation)"
Canada,,AB,,"Assumption (Dene Tha')"
Canada,,AB,,"Horse Lake First Nation"
Canada,,AB,,"Driftpile Cree Nation"
Canada,,AB,,"Duncan's First Nation"
Canada,,AB,,"Kapawe'no First Nation"
Canada,,AB,,"Little Buffalo (Lubicon Lake)"
Canada,,AB,,"Sawridge First Nation"
Canada,,AB,,"Sturgeon Lake Cree Nation"
Canada,,AB,,"Arcadia (Sucker Creek)"
Canada,,AB,,"Swan River First Nation"
Canada,,AB,,"Wabasca No. 166A (Bigstone Cree Nation) (50458)"
Canada,,AB,,"Atikameg (Whitefish Lake)"
Canada,,AB,,"Beaver Lake Cree Nation"
Canada,,AB,,"Mikisew Cree First Nation"
Canada,,AB,,"Saddle Lake (Saddle Lake Cree Nation)"
Canada,,AB,,"Athabasca Chipewyan First Nation"
Canada,,AB,,"Cold Lake First Nations"
Canada,,AB,,"Frog Lake"
Canada,,AB,,"Kehewin Cree Nation"
Canada,,AB,,"Fort McKay First Nation"
Canada,,AB,,"Fort McMurray #468 First Nation"
Canada,,AB,,"Heart Lake"
Canada,,AB,,"Chipewyan Prairie First Nation"
Canada,,AB,,Stoney
Canada,,AB,,Bearspaw
Canada,,AB,,"Woodland Cree First Nation"
Canada,,AB,,Goodstoney
Canada,,AB,,"Loon Lake (Loon River Cree)"
Canada,,AB,,"Smith's Landing First Nation"
Canada,,AB,,"Peerless Lake (Peerless Trout First Nation)"
Canada,,AB,,"Fort Vermilion No.173B (Tallcree Tribal Government)"
Canada,,AB,,"Sturgeon Lake No.154 (Sturgeon Lake Cree Nation)"
Canada,,AB,,"Fitzgerald Settlement (Smith's Landing First Nation)"
Canada,,AB,,"Sturgeon Lake No.154A (Sturgeon Lake Cree Nation)"
Canada,,AB,,Usona
Canada,,AB,,Hoadley
Canada,,AB,,"Viewmar Estates"
Canada,,AB,,"Raymond Shores"
Canada,,AB,,"Meridean Beach"
Canada,,AB,,"Wilsons Beach"
Canada,,AB,,"Birch Bay"
Canada,,AB,,"Sandy Point"
Canada,,AB,,"Sandy Beach"
Canada,,AB,,"Medal Beach"
Canada,,AB,,"Sunset Heights"
Canada,,AB,,"Sherman Park"
Canada,,AB,,"Johnsons Beach"
Canada,,AB,,"Norman Place Estates"
Canada,,AB,,"Lakeview Acres"
Canada,,AB,,Lochinvar
Canada,,AB,,Homeglen
Canada,,AB,,"Dorchester Ranch"
Canada,,AB,,"Poor Mans Flats"
Canada,,AB,,"First Chain Lakes"
Canada,,AB,,"Salt Prairie"
Canada,,AB,,Carcajou
Canada,,AB,,"Eagles Quay"
Canada,,AB,,"Little Bow Resort"
Canada,,AB,,"Rio Bend Estates"
Canada,,AB,,Ullin
Canada,,AB,,Nordegg
