"Brand Organization Email Extension","Tenant Organization Email Extension","Brand Location Number","Tenant Location Number",Name,Phone,Email,Website,"Address Line one","Address Line Two",Latitude,Longitude,"Zip Code",Country,State,County,"Municipality - Place",Notes
ssafa.org.uk,,,,"SSAFA Leicestershire &amp; Rutland","020 4566 9114",,offices.sc.egov.usda.gov/leicestershire-rutland,"SSAFA, Clarence House, 46 Humberstone Gate, Leicester ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Lincolnshire","020 4566 9114",,offices.sc.egov.usda.gov/lincolnshire,"SSAFA Office, Bldg 124, Prince William of Gloucester Barracks, Grantham, NG31 7TE",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Buckinghamshire","0204 566 9126",,offices.sc.egov.usda.gov/buckinghamshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Lanarkshire","0141 488 8552",,offices.sc.egov.usda.gov/lanarkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Tyne &amp; Wear","020 4566 9117",,offices.sc.egov.usda.gov/tyne-wear,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Nottinghamshire","020 4566 9114",,offices.sc.egov.usda.gov/nottinghamshire,"SSAFA Office, Army Reserve Centre, Triumph Road, Nottingham ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Northamptonshire","020 4566 9114",,offices.sc.egov.usda.gov/northamptonshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Norfolk","01603 403 322",,offices.sc.egov.usda.gov/norfolk,"SSAFA Office, Britannia House Army Reserve Centre, 325 Aylsham Road, Norwich",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday 09.00-12.00"
ssafa.org.uk,,,,"SSAFA Oxfordshire","0204 566 9126",,https://www.ssafa.org.uk/oxfordshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Perth &amp; Kinross","0141 488 8552",,offices.sc.egov.usda.gov/perth-kinross,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Plymouth","0204 566 9131",,offices.sc.egov.usda.gov/plymouth,"SSAFA Office, Fenner Building, HM HMNB, Plymouth",,,,,"United Kingdom",,,,"Opening times:  Contact hours - Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Hampshire","0204 566 9126",,offices.sc.egov.usda.gov/hampshire,"South East Regional Office",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Berkshire","0204 566 9126",,offices.sc.egov.usda.gov/berkshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA South West Wales","029 2294 1004",,offices.sc.egov.usda.gov/south-west-wales,"SSAFA Office",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Wiltshire","0204 566 9131",,offices.sc.egov.usda.gov/wiltshire,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Staffordshire","0204 566 9116",,offices.sc.egov.usda.gov/staffordshire,"Suite 6, Beacon House, Unit QA, Beacon Business Park, Stafford, ST18 0W",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Shropshire","0204 566 9116",,offices.sc.egov.usda.gov/shropshire,"SSAFA Office, Reserve Centre, Copthorne Barracks, Copthorne Road, Shrewsbury ",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Borders","0141 488 8552",,offices.sc.egov.usda.gov/borders,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
ssafa.org.uk,,,,"SSAFA Cornwall and the Isles of Scilly","0204 566 9131",,offices.sc.egov.usda.gov/cornwall,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Cleveland","020 4566 9117",,offices.sc.egov.usda.gov/cleveland,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA Worcestershire","0204 566 9116",,offices.sc.egov.usda.gov/worcestershire,"SSAFA Army Reserve Centre, Dancox House, Pheasant Street, Worcester WR1 2EE",,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:00-17:00"
ssafa.org.uk,,,,"SSAFA SSAFA Orkney &amp; Shetland","0141 488 8552",,offices.sc.egov.usda.gov/orkney-shetland,,,,,,"United Kingdom",,,,"Opening times:  Monday to Friday, 09:30-17:00"
